description,industry,level,size,line_code,value,status,Unit,Footnotes
Source of info - government agencies: yes,"Petroleum, coal, chemical, & associated product",2,total,B1712.01,39,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Non-metallic mineral product,2,total,B1712.01,6,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Metal product,2,total,B1712.01,60,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Transport and industrial machinery & equipment,2,total,B1712.01,27,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Other machinery & equipment,2,total,B1712.01,24,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Other manufacturing,2,total,B1712.01,21,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Electricity, gas, water, & waste services",1,total,B1712.01,21,,Number of businesses,1 and 2 and 3 and 5 and 6
Source of info - government agencies: yes,Construction,1,total,B1712.01,246,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Wholesale trade,1,total,B1712.01,225,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Machinery & equipment wholesaling,2,total,B1712.01,57,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Other wholesale trade,2,total,B1712.01,168,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Retail trade,1,total,B1712.01,288,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Accommodation & food services,1,total,B1712.01,78,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Transport, postal, & warehousing",1,total,B1712.01,30,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Information media & telecommunications,1,total,B1712.01,54,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Publishing,2,total,B1712.01,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Motion picture,2,total,B1712.01,21,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Telecommunications,2,total,B1712.01,12,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Financial & insurance services,1,total,B1712.01,45,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Finance,2,total,B1712.01,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Insurance,2,total,B1712.01,3,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Auxiliary,2,total,B1712.01,30,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Rental, hiring, & real estate services",1,total,B1712.01,42,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,"Professional, scientific, & technical services",1,total,B1712.01,423,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Computer systems design,2,total,B1712.01,138,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Other professional scientific,2,total,B1712.01,288,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Administrative & support services,1,total,B1712.01,222,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Education & training,1,total,B1712.01,192,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Health care & social assistance,1,total,B1712.01,450,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Arts & recreation services,1,total,B1712.01,15,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,Other services,1,total,B1712.01,42,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: yes,total,0,total,B1712.01,2904,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,total,0,6–19 employees,B1712.02,16278,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: no,total,0,20–49 employees,B1712.02,4743,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: no,total,0,50–99 employees,B1712.02,1296,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: no,total,0,100+ employees,B1712.02,1011,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: no,"Agriculture, forestry, & fishing",1,total,B1712.02,1365,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Agriculture,2,total,B1712.02,891,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Commercial fishing,2,total,B1712.02,18,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Forestry & logging,2,total,B1712.02,84,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Agriculture, forestry, & fishing support services",2,total,B1712.02,372,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Mining,1,total,B1712.02,54,,Number of businesses,1 and 2 and 3 and 5 and 6
Source of info - government agencies: no,Manufacturing,1,total,B1712.02,2991,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Food, beverage, & tobacco",2,total,B1712.02,648,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Textile, clothing, footwear, & leather",2,total,B1712.02,138,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Wood & paper product,2,total,B1712.02,312,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Printing, publishing, & recorded media",2,total,B1712.02,111,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Petroleum, coal, chemical, & associated product",2,total,B1712.02,252,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Non-metallic mineral product,2,total,B1712.02,126,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Metal product,2,total,B1712.02,489,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Transport and industrial machinery & equipment,2,total,B1712.02,558,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Other machinery & equipment,2,total,B1712.02,138,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Other manufacturing,2,total,B1712.02,219,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Electricity, gas, water, & waste services",1,total,B1712.02,99,,Number of businesses,1 and 2 and 3 and 5 and 6
Source of info - government agencies: no,Construction,1,total,B1712.02,3672,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Wholesale trade,1,total,B1712.02,1749,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Machinery & equipment wholesaling,2,total,B1712.02,564,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Other wholesale trade,2,total,B1712.02,1182,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Retail trade,1,total,B1712.02,2403,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Accommodation & food services,1,total,B1712.02,2550,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Transport, postal, & warehousing",1,total,B1712.02,729,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Information media & telecommunications,1,total,B1712.02,249,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Publishing,2,total,B1712.02,108,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Motion picture,2,total,B1712.02,72,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Telecommunications,2,total,B1712.02,69,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Financial & insurance services,1,total,B1712.02,384,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Finance,2,total,B1712.02,108,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Insurance,2,total,B1712.02,21,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Auxiliary,2,total,B1712.02,258,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Rental, hiring, & real estate services",1,total,B1712.02,576,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,"Professional, scientific, & technical services",1,total,B1712.02,2904,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Computer systems design,2,total,B1712.02,528,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Other professional scientific,2,total,B1712.02,2379,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Administrative & support services,1,total,B1712.02,930,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Education & training,1,total,B1712.02,495,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Health care & social assistance,1,total,B1712.02,1188,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Arts & recreation services,1,total,B1712.02,327,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,Other services,1,total,B1712.02,651,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: no,total,0,total,B1712.02,23334,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: don't know,total,0,6–19 employees,B1712.03,1275,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: don't know,total,0,20–49 employees,B1712.03,459,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: don't know,total,0,50–99 employees,B1712.03,156,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: don't know,total,0,100+ employees,B1712.03,246,,Number of businesses,1 and 2 and 3 and 4 and 6
Source of info - government agencies: don't know,"Agriculture, forestry, & fishing",1,total,B1712.03,159,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: don't know,Agriculture,2,total,B1712.03,114,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: don't know,Commercial fishing,2,total,B1712.03,6,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: don't know,Forestry & logging,2,total,B1712.03,6,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: don't know,"Agriculture, forestry, & fishing support services",2,total,B1712.03,36,,Number of businesses,1 and 2 and 3 and 6
Source of info - government agencies: don't know,Mining,1,total,B1712.03,6,,Number of businesses,1 and 2 and 3 and 5 and 6
